candidate_id,rank,score,reasoning
CAND_0046064,1,0.7535,"Senior NLP Engineer with 8.9 years of hands-on experience, showing substantial technical depth in Python, Pinecone. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0007009,2,0.7494,"Recommendation Systems Engineer with 7.9 years of hands-on experience, showing substantial technical depth in Weaviate, Python. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0011162,3,0.748,"Recommendation Systems Engineer with 5.8 years of hands-on experience, showing substantial technical depth in FAISS, Milvus. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0081846,4,0.7427,"Lead AI Engineer with 6.7 years of hands-on experience, showing substantial technical depth in Elasticsearch, Python. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0027691,5,0.7405,"Excellent 'Hidden Gem' candidate with title NLP Engineer but strong technical competency in Weaviate, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 15-day notice period."
CAND_0036184,6,0.7405,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in FAISS, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0061265,7,0.7339,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Qdrant, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0002025,8,0.7285,"Senior AI Engineer with 5.9 years of hands-on experience, showing substantial technical depth in FAISS, Weaviate. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0052682,9,0.7269,"Excellent 'Hidden Gem' candidate with title NLP Engineer but strong technical competency in FAISS, Python. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0041669,10,0.7265,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in FAISS, Milvus. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0018499,11,0.7238,"Senior Machine Learning Engineer with 7.2 years of hands-on experience, showing substantial technical depth in Weaviate, Pinecone. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0014440,12,0.7224,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Elasticsearch, Milvus. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0070525,13,0.722,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Python, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0006557,14,0.719,"NLP Engineer with 7.9 years of hands-on experience, showing substantial technical depth in Elasticsearch, Weaviate. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0075249,15,0.7174,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in Milvus, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0082086,16,0.7153,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in FAISS, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0008425,17,0.7149,"Excellent 'Hidden Gem' candidate with title Senior NLP Engineer but strong technical competency in Qdrant, NLP. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0045250,18,0.7145,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in Milvus, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 15-day notice period."
CAND_0064326,19,0.7113,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in Milvus, Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0073314,20,0.7113,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Milvus, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0065195,21,0.7109,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in Elasticsearch, Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0069905,22,0.7109,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in Python, Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0067866,23,0.7102,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Embeddings, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0018722,24,0.7101,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Weaviate, Python. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0043860,25,0.7099,"Excellent 'Hidden Gem' candidate with title Junior ML Engineer but strong technical competency in Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0096142,26,0.7093,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in Weaviate, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0049538,27,0.7086,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in Milvus, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0041610,28,0.708,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Elasticsearch, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0018549,29,0.7057,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Weaviate, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0064256,30,0.705,"Excellent 'Hidden Gem' candidate with title Junior ML Engineer but strong technical competency in Python, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0077498,31,0.7037,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Embeddings, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0020877,32,0.7028,"Applied ML Engineer with 5.1 years of hands-on experience, showing substantial technical depth in Elasticsearch, Weaviate. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0068811,33,0.7013,"Applied ML Engineer with 8.0 years of hands-on experience, showing substantial technical depth in Qdrant, Embeddings. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0040117,34,0.7001,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Embeddings, FAISS. A transitional profile who built search or matching infrastructure at scale, and has a short 15-day notice period."
CAND_0013536,35,0.6978,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in NLP, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0054100,36,0.6969,"Excellent 'Hidden Gem' candidate with title Junior ML Engineer but strong technical competency in Pinecone, Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0076163,37,0.6966,"Excellent 'Hidden Gem' candidate with title NLP Engineer but strong technical competency in Weaviate, Python. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0010149,38,0.6948,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Milvus, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0081053,39,0.6911,"Excellent 'Hidden Gem' candidate with title NLP Engineer but strong technical competency in Qdrant, Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0009024,40,0.6899,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in Qdrant, FAISS. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0032887,41,0.6899,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in NLP, Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0053527,42,0.6898,"Excellent 'Hidden Gem' candidate with title Junior ML Engineer but strong technical competency in Pinecone, Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0027801,43,0.6889,"Excellent 'Hidden Gem' candidate with title NLP Engineer but strong technical competency in FAISS, Milvus. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0047542,44,0.6881,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Weaviate, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0005632,45,0.6878,"Excellent 'Hidden Gem' candidate with title Backend Engineer but strong technical competency in Pinecone, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0012837,46,0.6875,"Excellent 'Hidden Gem' candidate with title Junior ML Engineer but strong technical competency in Weaviate, NLP. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0086151,47,0.6875,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Qdrant, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0024147,48,0.687,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0083307,49,0.6866,"Search Engineer with 7.8 years of hands-on experience, showing substantial technical depth in Embeddings, Pinecone. Matches the 'product over research' profile with strong experience shipping scalable backend architectures."
CAND_0077285,50,0.6862,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in Pinecone, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0076251,51,0.6839,"Excellent 'Hidden Gem' candidate with title Search Engineer but strong technical competency in Weaviate, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
CAND_0077337,52,0.6836,"Staff Machine Learning Engineer possessing adjacent backend skills with 7.0 years of experience. Engagement signals are positive, though missing direct experience with modern vector search libraries."
CAND_0066999,53,0.6823,"Excellent 'Hidden Gem' candidate with title Recommendation Systems Engineer but strong technical competency in FAISS, Pinecone. A transitional profile who built search or matching infrastructure at scale, and has a short 15-day notice period."
CAND_0065514,54,0.6822,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Pinecone, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0096172,55,0.6819,"Excellent 'Hidden Gem' candidate with title NLP Engineer but strong technical competency in Elasticsearch, Python. A transitional profile who built search or matching infrastructure at scale, and has a short 45-day notice period."
CAND_0013665,56,0.6818,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Qdrant, Embeddings. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0047276,57,0.6812,"Excellent 'Hidden Gem' candidate with title Backend Engineer but strong technical competency in Qdrant. A transitional profile who built search or matching infrastructure at scale, and has a short 30-day notice period."
CAND_0031752,58,0.678,"Excellent 'Hidden Gem' candidate with title ML Engineer but strong technical competency in Weaviate, Python. A transitional profile who built search or matching infrastructure at scale, and has a short 120-day notice period."
CAND_0074735,59,0.6779,"Excellent 'Hidden Gem' candidate with title Applied ML Engineer but strong technical competency in Weaviate, Elasticsearch. A transitional profile who built search or matching infrastructure at scale, and has a short 90-day notice period."
CAND_0017090,60,0.6772,"Excellent 'Hidden Gem' candidate with title Senior Software Engineer (ML) but strong technical competency in Python, Weaviate. A transitional profile who built search or matching infrastructure at scale, and has a short 60-day notice period."
